StudyInstanceUID,0,1,2,3,4
1.2.826.0.1.3680043.8.498.10017646668156914666647722802604356737,-4.9836454,-1.8402107,-1.7815716,0.16343728,1.0528868
1.2.826.0.1.3680043.8.498.10018075252386372341630994359514356539,-0.27102655,-3.651144,1.6322298,-2.689959,-0.29722154
1.2.826.0.1.3680043.8.498.10018134097668136512874044161384838875,-4.175731,-2.3543365,-0.36819646,1.3324107,0.3675151
1.2.826.0.1.3680043.8.498.10018204814154657908167246779037766354,-1.9385531,0.9221535,-1.1523623,-1.1865036,1.7475446
1.2.826.0.1.3680043.8.498.10018307055250055778245370273733850307,0.6569727,1.7875278,-0.055790946,-0.015360045,1.2014765
1.2.826.0.1.3680043.8.498.10019002689520146853818909035058664646,1.5724608,-5.1493044,2.1148682,2.6695123,0.8584374
1.2.826.0.1.3680043.8.498.10019435451845439822798422543882918364,2.3352628,-2.0681129,1.2455469,0.14154993,-1.1369476
1.2.826.0.1.3680043.8.498.10020144805733220809675178506169339046,-3.8321316,-1.0821784,-1.8467895,-0.24703623,1.064048
1.2.826.0.1.3680043.8.498.10021630710182008657741428387811423128,-4.482511,-0.1972363,-1.8270831,1.6043581,0.48115164
1.2.826.0.1.3680043.8.498.10021854487263848194628875384168961808,0.3776432,0.6766617,-0.14347099,3.2221382,1.5556287
1.2.826.0.1.3680043.8.498.10021858984199363459701912491385330611,1.9545727,3.3389003,1.9647654,-0.17681098,-3.3147418
1.2.826.0.1.3680043.8.498.10021973270623035291367987932424612294,0.027711868,-0.60838497,-0.37465727,-1.3159192,-0.48527488
1.2.826.0.1.3680043.8.498.10021996559669654277725449176554943496,3.098771,-0.035021562,3.647326,-1.5277168,-2.5261445
1.2.826.0.1.3680043.8.498.10022352498186165049358701743628088511,-3.3784032,-4.352145,1.6874195,-2.778489,-0.08659927
1.2.826.0.1.3680043.8.498.10022575548791280218711547174411702548,2.9927547,4.7155323,0.37786004,3.0473523,-2.5605013
1.2.826.0.1.3680043.8.498.10024521396311097095069627852405832887,2.3233979,3.3148277,-0.44664204,-1.0619522,-1.747611
1.2.826.0.1.3680043.8.498.10024677400407022503902261988485643388,-2.6683383,-0.36109406,-1.7885802,0.72878075,1.8572435
1.2.826.0.1.3680043.8.498.10024905155457097703571776801095850823,2.3177378,-1.4896417,-0.9667996,-1.7185777,0.17483677
1.2.826.0.1.3680043.8.498.10026426382035774450069215592160570267,1.8306406,1.0556132,-1.1509776,-1.2351502,-2.041873
1.2.826.0.1.3680043.8.498.10026518163577918955053805613671549276,2.3845837,1.3777199,-0.59280974,1.600824,-0.9634013
1.2.826.0.1.3680043.8.498.10027326593581944144606788750440885970,-1.1736848,-2.8595867,4.5086007,0.36569494,1.7467458
1.2.826.0.1.3680043.8.498.10027488794930308811702614474657394275,-2.241148,2.9096665,0.99368453,-0.5224755,1.3483737
1.2.826.0.1.3680043.8.498.10028011786106394989883703622247345028,-0.1634996,-3.6162267,-1.1282486,-0.72818226,1.3069674
1.2.826.0.1.3680043.8.498.10028095478460142445593553246714889620,-4.732823,-2.3552108,-0.9408814,0.5429749,0.26173383
1.2.826.0.1.3680043.8.498.10028254431437370216136500148832892575,-5.942355,0.4240372,0.77999806,0.057980232,0.74970794
1.2.826.0.1.3680043.8.498.10029507205325750496485864437770237976,2.5772035,1.4943448,-0.16556199,1.9765784,1.8032745
1.2.826.0.1.3680043.8.498.10029723660089347508738435901303926818,-5.432511,0.62871265,-0.18875808,-0.93378496,1.3674527
1.2.826.0.1.3680043.8.498.10029892946139865277969984123364334118,3.6950703,-0.072811745,3.808555,0.6073,-0.2061948
1.2.826.0.1.3680043.8.498.10029960908232575725796519355909062556,-0.15934207,1.004642,-3.05267,0.23276268,2.0177479
1.2.826.0.1.3680043.8.498.10030267207719051244233675946288644791,0.17695335,3.1081812,-1.5994096,-0.42384598,2.2403586
1.2.826.0.1.3680043.8.498.10030464730286610951201326318743491514,-0.36795002,4.0772285,-0.34177038,1.4396194,-0.040308032
1.2.826.0.1.3680043.8.498.10030983988527602795089720119259920990,0.6441289,-1.4932569,-0.91253215,1.3908626,-2.2223277
1.2.826.0.1.3680043.8.498.10031131575745854404126410511882847279,4.1407576,2.5632277,-0.5733923,0.23079261,-1.3157188
1.2.826.0.1.3680043.8.498.10031269453923848146135409199965422821,-3.312425,-0.8159808,-1.6440653,0.5075276,0.105982795
1.2.826.0.1.3680043.8.498.10031501061819127828922484142884215186,0.26259172,3.0894525,2.0385332,2.6030672,-3.9314651
1.2.826.0.1.3680043.8.498.10031940706353760284920965781835203982,1.4324512,1.6432426,0.3019942,-1.4427452,-3.185007
1.2.826.0.1.3680043.8.498.10032028839192760806927148078906213678,-5.0469103,-1.3543674,-0.8962272,0.5025444,0.20301433
1.2.826.0.1.3680043.8.498.10032048510488115414785409436949547468,5.772882,-0.8996878,-0.0560714,0.44462213,0.9556055
1.2.826.0.1.3680043.8.498.10032340828791210717948271408211638973,4.112144,-4.092705,1.273994,-0.46413124,0.95038503
1.2.826.0.1.3680043.8.498.10032710294900128005585628219888582554,0.79293704,2.2931287,0.098192364,0.5399571,-3.2651753
1.2.826.0.1.3680043.8.498.10032779745111029961725732567447430519,1.8681376,1.508923,-2.0323498,-1.8602638,2.828888
1.2.826.0.1.3680043.8.498.10033545255232289763397607156097980303,-3.4917707,-3.4484074,-1.0703685,0.025757285,-0.5424749
1.2.826.0.1.3680043.8.498.10033569920238221947062880735755289421,2.9269109,-3.4817345,2.117334,-0.9603147,0.045332484
1.2.826.0.1.3680043.8.498.10033750778437740773617810184285431800,-0.45048925,1.5322508,0.46207485,-1.9303775,2.0832067
1.2.826.0.1.3680043.8.498.10033767700116297536450830206415270823,-4.459514,2.5784097,0.043979775,-0.7438676,0.74625564
1.2.826.0.1.3680043.8.498.10033816184187349486890926798826273417,-0.10126126,-1.9686319,0.88092846,2.605107,0.590448
1.2.826.0.1.3680043.8.498.10034288784158513528510670675349657349,-4.207999,-3.7571077,1.1242807,-1.6589514,-0.5988375
1.2.826.0.1.3680043.8.498.10034302549379767492608559494205101327,-0.51036495,1.3907183,-1.2232943,0.5128668,-1.9344547
1.2.826.0.1.3680043.8.498.10034574031081091220119711846241326755,2.3076403,4.6091385,0.33868703,1.2302923,0.09077756
1.2.826.0.1.3680043.8.498.10034682551193947784054269666848862750,2.4788885,-0.56161606,-1.0051696,-0.6876017,-0.5291182
1.2.826.0.1.3680043.8.498.10034792913696826780852280711604860499,1.2464225,-3.4877262,-1.2868435,1.5661182,1.0518911
1.2.826.0.1.3680043.8.498.10035185902631696328296918289451080576,-4.825761,0.65638685,-0.86909926,-0.46768337,-0.6495362
1.2.826.0.1.3680043.8.498.10035812241639423880925351062257411977,-0.329974,-1.7673075,0.91868514,4.04587,2.085165
1.2.826.0.1.3680043.8.498.10037224853367493498893120248921899991,3.0861802,1.5153991,0.8401098,-0.43017045,-1.8288012
1.2.826.0.1.3680043.8.498.10037384804876804086259884939936263352,2.3224359,1.8219793,-1.1514275,0.41699743,-0.46276805
1.2.826.0.1.3680043.8.498.10037516079959401521453481143836797555,1.546225,0.24033368,1.5634364,4.206586,0.66306406
1.2.826.0.1.3680043.8.498.10037875998248097230311885809434896312,0.660087,-1.2051581,2.4135303,-2.5952685,1.3794656
1.2.826.0.1.3680043.8.498.10038139989701326209007233434636808403,-3.565298,0.1515014,-2.3641293,0.50838923,1.6780661
1.2.826.0.1.3680043.8.498.10038191487483495704780380880295862574,2.7541463,-2.9074275,0.05106959,-0.4587204,-0.23709504
1.2.826.0.1.3680043.8.498.10038420947308186171557066247880108101,-5.4625077,-1.810692,-0.30202264,0.5383309,-0.3881403
1.2.826.0.1.3680043.8.498.10040536600231311474443746659410953891,-0.8876194,2.2166748,1.1258396,1.8495497,-3.0784883
1.2.826.0.1.3680043.8.498.10040873077150751234663983382938238771,-0.20974766,-1.1154733,-2.5182967,2.398768,1.9090595
1.2.826.0.1.3680043.8.498.10040973655672839521260773289037255896,-3.4705682,-4.0561266,1.0849417,-0.4870339,-1.8152192
1.2.826.0.1.3680043.8.498.10042053205246506200765688655343322943,-3.5245779,-2.908983,0.061025158,-0.5240553,-2.4516892
1.2.826.0.1.3680043.8.498.10043914748197350530333666211582267984,-1.3986845,2.266408,0.9537658,2.0420065,-2.247634
1.2.826.0.1.3680043.8.498.10043918025971680864412425042738487189,-3.1656446,-3.5526638,0.2864492,-1.3123193,-1.3832861
1.2.826.0.1.3680043.8.498.10044085427415422724498425443516833882,0.8564315,3.2057047,0.5817984,0.43329623,-0.9684435
1.2.826.0.1.3680043.8.498.10044783010652542991344217245325312474,-0.7461327,-2.9266233,-2.1231122,0.67244834,-0.16770205
1.2.826.0.1.3680043.8.498.10045112075119291381295169985128476779,-0.77666557,2.6844633,0.8422046,-0.678802,0.24434406
1.2.826.0.1.3680043.8.498.10045460915532891819972440685254850243,-1.8565603,0.7180958,-1.8139553,0.87527573,-0.0818012
1.2.826.0.1.3680043.8.498.10047110645909749437415052454602590966,2.3299966,-0.6932749,-0.9369483,-1.089227,-2.7119741
1.2.826.0.1.3680043.8.498.10047531744489972921277169086610352131,4.2416015,-1.3003309,-2.526618,2.9638534,2.2410872
1.2.826.0.1.3680043.8.498.10047842911203101047570384649560015352,0.050391346,-0.7475287,2.7940753,3.8610432,1.883513
1.2.826.0.1.3680043.8.498.10048052108314478881596098817576327803,-1.3374041,2.403918,2.4069514,-0.0021816287,-2.1036708
1.2.826.0.1.3680043.8.498.10048863664043035019410614379084201182,-2.1742375,1.4845557,-1.7978857,-0.6275052,0.13559896
1.2.826.0.1.3680043.8.498.10048988114005705961771142545331070176,4.4958234,1.1647657,-0.6967314,0.46158996,-0.68663657
1.2.826.0.1.3680043.8.498.10049487272529250854266233171440788846,1.1078246,0.34288934,-3.2136269,2.4358573,-0.43483478
1.2.826.0.1.3680043.8.498.10049489011670841489507867141921188132,1.8080091,0.23809007,-2.775888,0.74212945,0.7573149
1.2.826.0.1.3680043.8.498.10049550750418879579150334394262268977,-2.111031,-1.9250947,-0.3524023,4.196609,-0.04106953
1.2.826.0.1.3680043.8.498.10050042034194994187983515198031944364,-1.8985821,-1.3894088,-3.0520518,-0.45155236,0.67103815
1.2.826.0.1.3680043.8.498.10050203009225938259119000528814762175,-0.26113755,3.1070876,2.5400558,1.3250061,-2.8035872
1.2.826.0.1.3680043.8.498.10050467570730890289339588263017840030,-1.7703781,-1.4576421,-0.5207772,-1.0744704,-2.4231153
1.2.826.0.1.3680043.8.498.10050882023845950715021583689317051573,1.3309801,-2.391216,-2.2040942,2.233207,-0.2931601
1.2.826.0.1.3680043.8.498.10051632601627141294337820731794409797,4.3154025,-0.8214643,-0.3080446,-0.017920442,-2.0853586
1.2.826.0.1.3680043.8.498.10052128047661949021396527525739619804,4.7014484,-0.7063032,-0.77033424,0.60827684,0.942414
1.2.826.0.1.3680043.8.498.10052190850593990085739594102606840165,-1.0708553,-1.1492774,-2.793348,0.34464812,1.6401422
1.2.826.0.1.3680043.8.498.10052403122503637075183258256718928911,1.2127978,-3.994739,5.444675,1.657878,0.5023496
1.2.826.0.1.3680043.8.498.10052423452725025660347773925759192472,-3.8743424,-0.53510803,-0.99712294,0.87133765,-1.5535946
1.2.826.0.1.3680043.8.498.10052703705847102583546334932685746246,-1.4193133,-0.25929153,-2.7478774,1.2753243,0.14001739
1.2.826.0.1.3680043.8.498.10052791558876371836107610286092211097,1.939523,0.09948306,-1.262468,0.5618538,-0.2754891
1.2.826.0.1.3680043.8.498.10052950561798580326159516912995482215,-1.7024271,-1.8972622,-2.5357487,2.790199,-0.45933652
1.2.826.0.1.3680043.8.498.10053080019467457873975728200725200966,-3.9849052,-3.521841,-1.1403959,0.9425461,0.8077996
1.2.826.0.1.3680043.8.498.10053691685690328744070480495677302858,-0.09586738,-3.1331007,1.9010708,-0.28092727,-0.48430502
1.2.826.0.1.3680043.8.498.10054051652942460421873916872919656968,-3.6468148,-3.1879406,-0.18462595,-0.788793,-0.9615291
1.2.826.0.1.3680043.8.498.10054228081527368096397198092800348985,-0.40722233,-3.4178212,5.1507516,0.18469693,1.7186813
1.2.826.0.1.3680043.8.498.10054869152150490510575709799958056712,-1.2375714,0.50179553,-1.8490825,0.18212801,1.6990587
1.2.826.0.1.3680043.8.498.10055268075995661560767156889163189958,-2.5018091,-0.87598425,-1.4145367,-1.3335938,-1.160242
1.2.826.0.1.3680043.8.498.10055576889643780474084998156685591146,1.015732,-0.5037821,4.372884,1.5523713,-1.2395673
1.2.826.0.1.3680043.8.498.10055664991702273112789806976052764253,1.6183923,3.4942482,1.9260179,1.143568,1.8957603
1.2.826.0.1.3680043.8.498.10055672666936189880962589956789651448,2.709296,-2.7939255,2.188848,-1.6372688,-1.5811063
1.2.826.0.1.3680043.8.498.10055863381547919436880070882350748613,-2.9548178,1.3357743,-1.0468811,0.6412449,-0.19369136
1.2.826.0.1.3680043.8.498.10056025285103960908728088883466177822,-1.5753088,-1.3823553,1.4259303,-0.31129226,2.25166
1.2.826.0.1.3680043.8.498.10056453136537429307025773407273679930,-1.9839898,3.4286947,0.55387825,-0.2114926,1.3015741
1.2.826.0.1.3680043.8.498.10057286768868451976410389736668099128,4.4008913,-2.7352772,0.46203387,0.3293413,-0.15074375
1.2.826.0.1.3680043.8.498.10058065730435213409929610838109608470,-4.9715443,-0.3392036,-0.021657482,-1.3472451,-0.8332626
1.2.826.0.1.3680043.8.498.10058829966321236816737231294374953998,2.388668,1.1213479,-0.16116135,-3.2019017,-0.02883792
1.2.826.0.1.3680043.8.498.10058864192890103771967904020252232348,-5.202721,-1.2338119,-0.29739228,0.4365847,-1.8722684
1.2.826.0.1.3680043.8.498.10059204962417026053502372136420689582,-0.42819616,3.0085812,-0.65058404,1.0876626,1.1214172
1.2.826.0.1.3680043.8.498.10059487736975767184838087414848655873,-0.486806,-1.3786459,-2.9142365,-0.09849993,-0.13084082
1.2.826.0.1.3680043.8.498.10059640288853086416272734475892261050,-2.7456014,-3.6445065,1.0207527,0.5596296,0.96242476
1.2.826.0.1.3680043.8.498.10061025073268961539211213407033064563,-4.299067,-2.033379,-2.0972505,1.2739758,-0.1488094
1.2.826.0.1.3680043.8.498.10061041212942851024608322348890110547,3.1088984,-4.5841174,-0.37043545,-0.99712306,2.1403792
1.2.826.0.1.3680043.8.498.10061097429791858965978153768854541619,0.8771266,0.19864301,-2.4664574,0.63656825,0.8437463
1.2.826.0.1.3680043.8.498.10062493298005556488843783377392320459,0.5409446,-3.4621034,-1.9400612,3.0218935,-0.7746232
1.2.826.0.1.3680043.8.498.10063058613690783626141435294047315886,-3.9075773,0.4376726,-0.29935163,0.65220433,1.5045601
1.2.826.0.1.3680043.8.498.10063063624060157444449129347065510159,0.11078046,0.14398871,1.0579016,1.2077458,1.8660096
1.2.826.0.1.3680043.8.498.10063443818841687714677508725560422910,-0.41507322,-2.6699393,-3.4971123,0.31003588,0.24887246
1.2.826.0.1.3680043.8.498.10063942217495751490095649336012684420,0.3562649,4.314306,0.9366447,-2.0261617,-2.6857336
1.2.826.0.1.3680043.8.498.10064642557768703995425690987451706276,2.1906378,-1.4688692,4.549512,-0.03442003,-0.99462557
1.2.826.0.1.3680043.8.498.10065022647642913495432714563419778703,-3.1613774,2.1355178,-0.068284124,0.06036132,-1.687522
1.2.826.0.1.3680043.8.498.10065071780716928780003835392742385400,2.2988837,4.2558246,-0.14221363,-0.4433063,0.80546314
1.2.826.0.1.3680043.8.498.10065912864212684967613384412909678402,-5.68866,1.1662545,0.82256866,-1.8526714,-0.045650434
1.2.826.0.1.3680043.8.498.10066776511069155347460286230242930134,1.1690034,1.1016853,-0.7206203,-1.4327109,-1.2348341
1.2.826.0.1.3680043.8.498.10067137117597068944716470909135538063,-2.2178242,0.97225773,0.33316255,-0.9157646,-1.1717889
1.2.826.0.1.3680043.8.498.10067449719319539462622861006409667384,2.8339798,0.7283256,0.84890413,-0.55297196,1.5957775
1.2.826.0.1.3680043.8.498.10068639368393640791860589031032184163,0.2833953,2.4460807,0.26230228,-1.0808353,2.9068296
1.2.826.0.1.3680043.8.498.10068991809904122817902454042724999364,-0.004440272,4.049983,1.3512025,-1.5611565,-3.4344897
1.2.826.0.1.3680043.8.498.10069138128460654269681788885297696718,-4.6497016,-0.08573681,0.89416844,-0.6545797,-1.3406627
1.2.826.0.1.3680043.8.498.10069327301370137671829958128386002518,-0.42523682,-4.5452185,2.6418765,-1.5415964,-0.018883362
1.2.826.0.1.3680043.8.498.10069387578496534420830824289912860805,5.5264387,-1.4690481,-2.7489333,-2.3594964,-1.1055435
1.2.826.0.1.3680043.8.498.10069810601983024554902356251768336345,-0.021013744,1.5312368,-0.9036169,-0.30911657,-0.79276836
1.2.826.0.1.3680043.8.498.10069840546274743368415995601126602431,4.7068567,1.2844095,-0.12033457,-0.23427016,-1.809867
1.2.826.0.1.3680043.8.498.10070056966948308739992610302100089898,-2.6569211,-0.6538564,-2.0486376,-2.3506875,0.65937227
1.2.826.0.1.3680043.8.498.10070474686237439332158045011059121937,0.045896053,2.884277,1.7788427,-1.7031618,-2.766744
1.2.826.0.1.3680043.8.498.10070527929167473270650817463603929592,-0.1578872,2.4148908,1.4673404,-1.5717435,-2.1009295
1.2.826.0.1.3680043.8.498.10071043401695133897045976976744053410,3.2867062,1.0443825,2.623375,-0.8296767,-2.2393463
1.2.826.0.1.3680043.8.498.10071103572064577226449245759898262577,-1.4821332,-1.4980675,-2.3637645,0.27273732,0.8948368
1.2.826.0.1.3680043.8.498.10071246080014084429242308075128396998,1.2571709,5.52884,1.0707618,2.9022934,2.996336
1.2.826.0.1.3680043.8.498.10071504574578875713343493707757388016,-2.6178653,2.2303555,3.1360784,4.1428485,-0.37578103
1.2.826.0.1.3680043.8.498.10072099503307515395421106751052535796,2.2480383,0.057708412,-0.061086453,0.6731581,-3.0687468
1.2.826.0.1.3680043.8.498.10073912752636395616709020327862658967,3.1619253,0.95505315,2.4072742,2.0262027,2.0828662
1.2.826.0.1.3680043.8.498.10074883662836744284538573389366492866,5.8479557,-0.39474025,0.3945569,-2.5041022,-0.9620931
1.2.826.0.1.3680043.8.498.10074913729980982514696979623085218082,0.37279543,-0.7440817,4.10258,-2.48607,1.3213886
1.2.826.0.1.3680043.8.498.10074935164290044799647624919820680043,0.71585673,3.3983526,1.3074427,0.57950956,-0.6619631
1.2.826.0.1.3680043.8.498.10075715690266608030286388859666411605,1.4378326,-3.9201958,3.5651827,0.3564437,1.0271778
1.2.826.0.1.3680043.8.498.10075856186648723771595912902120987637,-0.9070945,1.3550667,-0.08299557,-0.7702876,0.3923297
1.2.826.0.1.3680043.8.498.10076070661135653031098148583400803964,0.7879015,-1.3018488,-3.0026321,-0.36206594,0.13623437
1.2.826.0.1.3680043.8.498.10076396103362045272157426308146440399,-1.9521589,2.7431517,0.85953844,0.60106736,1.4091353
1.2.826.0.1.3680043.8.498.10076539237208227742846988648422789175,-0.86803055,-2.7138531,-1.220219,0.6216487,0.33589315
1.2.826.0.1.3680043.8.498.10076888428387057017553779424776036182,4.511579,-1.751635,-2.8247921,0.68536556,-0.20638923
1.2.826.0.1.3680043.8.498.10076981616163557486325990962735040233,3.0683346,0.41328472,-1.7884138,-1.5847682,1.3510971
1.2.826.0.1.3680043.8.498.10077154008206428668395858165902386863,0.7130512,-0.0662563,2.2851179,0.5005605,-0.5594131
1.2.826.0.1.3680043.8.498.10077179922591575090007917786070492491,-2.290755,1.5071948,1.1412787,-1.7958142,0.20900166
1.2.826.0.1.3680043.8.498.10077421668536918619258347967015157280,-3.533452,0.19450198,0.6380275,0.40847725,-2.1369734
1.2.826.0.1.3680043.8.498.10077542848626120197221214465132277339,-0.570435,-3.861442,3.929635,1.194335,1.5406711
1.2.826.0.1.3680043.8.498.10077798084508353646739675944006265160,-0.6879151,3.8768923,0.5508837,0.33499882,-0.4105922
1.2.826.0.1.3680043.8.498.10078146887690319264536054142076201920,1.4788527,2.7820263,-1.1077769,-1.5350565,1.6572919
1.2.826.0.1.3680043.8.498.10079112854373681563134536162662487512,3.3144855,-3.3048694,0.44524375,-0.9770944,-0.42008808
1.2.826.0.1.3680043.8.498.10079586988419927887618842116603808528,1.1696322,1.4063369,-1.9666407,1.5391828,-0.1573672
1.2.826.0.1.3680043.8.498.10079785816641317438267123342996244255,2.427952,-1.3335427,4.3851204,-1.1725843,0.061039627
1.2.826.0.1.3680043.8.498.10079807282377974845613826033634618218,0.9846829,3.4538915,-2.2664177,-0.5113651,1.6043603
1.2.826.0.1.3680043.8.498.10080472362429543634518903666442868430,-0.02686847,1.8115404,1.4452397,-2.112851,1.4664677
1.2.826.0.1.3680043.8.498.10080859827367311865190194607896023485,-2.5825176,0.99692,-0.13717066,-3.0171394,0.7853725
1.2.826.0.1.3680043.8.498.10080963197161214409678102309988325174,0.48041242,0.19894615,-0.9446098,3.793332,1.374452
1.2.826.0.1.3680043.8.498.10081234784066707401451339373765823889,4.8172975,-2.5209208,0.38768154,0.305677,0.05344387
1.2.826.0.1.3680043.8.498.10082432172610032457031596375906431788,-3.6085527,-1.1889595,-0.73019075,0.7145772,-1.8599449
1.2.826.0.1.3680043.8.498.10082506437831086895438484104610133424,-0.4199595,-0.2607302,2.0518296,5.395246,0.10550914
1.2.826.0.1.3680043.8.498.10083015297550396134659168955606283271,-1.0407779,0.22691043,4.3017135,0.7654873,1.3347031
1.2.826.0.1.3680043.8.498.10083166376292116671510786855296156793,-0.26888174,-1.4793042,-1.9352524,-0.26374975,-0.3682296
1.2.826.0.1.3680043.8.498.10083227715434855265344997618519145359,-1.4545096,-0.3859245,-2.440908,-0.7377934,-0.31919098
1.2.826.0.1.3680043.8.498.10084604859393000149428827469482205261,-1.4887856,0.5797499,-2.371264,-0.61229634,0.9304396
1.2.826.0.1.3680043.8.498.10084796869520964975478565692843789941,-0.47895885,1.4650912,-0.7660279,-2.9436898,0.010931805
1.2.826.0.1.3680043.8.498.10084931565482593998052704312093524351,-1.6028253,-2.3809295,-0.7580117,3.364983,-0.5303035
1.2.826.0.1.3680043.8.498.10085763448919820436484873777801181295,1.7881281,-3.9963322,4.0151005,1.6069808,0.9378273
